Date,Open,High,Low,Close,Volume,Ticker,momentum_rsi,trend_macd,volatility_bbm,trend_ema_fast,Daily_Return,Month
2019-02-07,41.07,41.43,40.58,40.72,126966800,AAPL,66.47,1.08,38.04,39.48,,2019-02
2019-02-08,40.43,40.83,40.29,40.77,95280000,AAPL,66.69,1.1,38.25,39.67,0.12,2019-02
2019-02-11,40.92,40.96,40.49,40.53,83973600,AAPL,64.44,1.09,38.46,39.81,-0.58,2019-02
2019-02-12,40.69,40.91,40.6,40.88,89134000,AAPL,66.27,1.09,38.72,39.97,0.86,2019-02
2019-02-13,41.0,41.26,40.65,40.71,89960800,AAPL,64.53,1.07,38.93,40.09,-0.42,2019-02
2019-02-14,40.6,40.97,40.52,40.86,87342800,AAPL,65.38,1.05,39.13,40.2,0.36,2019-02
2019-02-15,40.97,41.08,40.61,40.77,98507200,AAPL,64.36,1.02,39.31,40.29,-0.22,2019-02
2019-02-19,40.6,41.01,40.55,40.89,75891200,AAPL,65.15,0.99,39.49,40.38,0.3,2019-02
2019-02-20,40.95,41.46,40.91,41.15,104457600,AAPL,66.85,0.98,39.72,40.5,0.64,2019-02
2019-02-21,41.1,41.24,40.74,40.92,68998800,AAPL,63.89,0.94,39.94,40.57,-0.56,2019-02
2019-02-22,41.05,41.39,41.0,41.38,75652800,AAPL,66.99,0.94,40.19,40.69,1.12,2019-02
2019-02-25,41.66,42.07,41.61,41.68,87493600,AAPL,68.89,0.95,40.39,40.84,0.73,2019-02
2019-02-26,41.56,41.94,41.43,41.7,68280800,AAPL,69.04,0.94,40.61,40.98,0.06,2019-02
2019-02-27,41.44,41.87,41.32,41.83,111341600,AAPL,69.9,0.94,40.86,41.11,0.31,2019-02
2019-02-28,41.7,41.84,41.37,41.42,112861600,AAPL,63.84,0.9,40.97,41.16,-0.98,2019-02
2019-03-01,41.69,41.9,41.36,41.86,103544800,AAPL,67.09,0.89,41.08,41.26,1.05,2019-03
2019-03-04,42.03,42.52,41.62,42.07,109744800,AAPL,68.56,0.89,41.2,41.39,0.5,2019-03
2019-03-05,42.09,42.1,41.76,41.99,78949600,AAPL,67.38,0.87,41.26,41.48,-0.18,2019-03
2019-03-06,41.79,41.98,41.61,41.75,83241600,AAPL,63.66,0.83,41.27,41.52,-0.58,2019-03
2019-03-07,41.59,41.73,41.15,41.27,99185600,AAPL,56.89,0.74,41.26,41.48,-1.16,2019-03
2019-03-08,40.75,41.4,40.55,41.37,95997600,AAPL,57.87,0.68,41.29,41.47,0.24,2019-03
2019-03-11,41.98,42.85,41.95,42.8,128044000,AAPL,68.96,0.74,41.39,41.67,3.46,2019-03
2019-03-12,43.06,43.7,42.91,43.28,129870400,AAPL,71.66,0.81,41.53,41.92,1.12,2019-03
2019-03-13,43.6,43.85,43.28,43.47,124130000,AAPL,72.68,0.87,41.66,42.16,0.44,2019-03
2019-03-14,43.99,44.04,43.67,43.95,94318000,AAPL,75.11,0.95,41.82,42.43,1.11,2019-03
2019-03-15,44.22,44.81,43.96,44.53,156171600,AAPL,77.64,1.05,42.0,42.76,1.3,2019-03
2019-03-18,44.45,45.07,44.45,44.98,104879200,AAPL,79.43,1.15,42.21,43.1,1.02,2019-03
2019-03-19,45.06,45.21,44.48,44.62,126585600,AAPL,74.4,1.18,42.4,43.33,-0.79,2019-03
2019-03-20,44.55,45.33,44.19,45.01,124140800,AAPL,76.18,1.23,42.59,43.59,0.87,2019-03
