Month,Mean_Return,Min_Return,Max_Return,Volatility,Ticker,Month_Num,Year,Volatility_Level,Prev_Month_Return,momentum_rsi,trend_macd,volatility_bbm,trend_ema_fast
2024-05-01,0.0062509753653913,-0.0210581176518771,0.0598161524416054,0.015662555888499,AAPL,5,2024,Low,,66.11180892610524,3.45674002777844,176.5908363689076,180.4260100187279
2024-06-01,0.0050253953161328,-0.021512932583678,0.0726490502244987,0.0213709772352033,AAPL,6,2024,Medium,0.0062509753653913,69.74526130942691,6.080051456301308,195.3387974789268,199.52926845682668
2024-07-01,0.0025263255110646,-0.0287543349180824,0.0291045764159809,0.0155059197237732,AAPL,7,2024,Low,0.0050253953161328,63.16497076944584,6.331051097327002,217.7468050523238,220.4957659989404
2024-08-01,0.0015488872767193,-0.0481670410302172,0.0171930246914884,0.0143901675062074,AAPL,8,2024,Low,0.0025263255110646,54.551115712378234,0.9948911661660237,219.57400436401366,219.59109666090333
2024-09-01,0.0009700551739041,-0.0277752257068714,0.0370655205857035,0.0148096554196303,AAPL,9,2024,Low,0.0015488872767193,51.52756275419622,0.7614506997485805,223.08227504730226,222.8432396612555
2024-10-01,-0.0012588663408995,-0.0291416478837538,0.0184040583556117,0.0132003771429195,AAPL,10,2024,Low,0.0009700551739041,54.74909038333794,1.7234915678540268,226.72767440132472,228.22073153978633
2024-11-01,0.0025666898688062,-0.0141091869225655,0.0213720819110281,0.0095009178128035,AAPL,11,2024,Low,-0.0012588663408995,50.49662978205977,-0.20204203877609217,227.76489734649658,226.99984951075862
2024-12-01,0.0026099050680367,-0.0214217423899752,0.0188158688440027,0.0102449183124344,AAPL,12,2024,Low,0.0025666898688062,72.21447809267696,4.935195356208887,238.71291987101236,243.32844328434163
2025-01-01,-0.0027848479781786,-0.0404001972024237,0.036543940339053,0.0192392609149739,AAPL,1,2025,Low,0.0026099050680367,40.81283274712094,-1.6515929558912248,243.45629394531252,238.95801748407433
2025-02-01,0.0014727114897668,-0.0338560257878577,0.0218318035406142,0.0163512011680377,AAPL,2,2025,Low,-0.0027848479781786,53.09418164104619,-0.032612244540703876,233.5994803177683,235.9715542598709
2025-03-01,-0.0038607953826865,-0.0484795560194802,0.019476864216797,0.0192861849003086,AAPL,3,2025,Low,0.0014727114897668,39.82898095844201,-3.452422149017309,232.29901202973866,227.72869351105825
2025-04-01,-0.0009618317307378,-0.0924560786573218,0.1532884728725123,0.049706737684324,AAPL,4,2025,Medium,-0.0038607953826865,42.67382877760995,-6.406533962295392,208.36355002267018,204.8678100448613
2024-05-01,0.0025291146215244,-0.0337860834755298,0.0221696881176223,0.0117414715417743,MSFT,5,2024,Low,,58.111105963011575,4.252069239264831,406.8077948136763,409.6383921429822
2024-06-01,0.0039276427549452,-0.0130285145731886,0.0193676940804536,0.008363264281642,MSFT,6,2024,Low,0.0025291146215244,64.71319121148659,6.161739065487229,424.11120597437804,428.229602182928
2024-07-01,-0.0028974966929031,-0.0358548523925448,0.0218815932738072,0.0147031382344388,MSFT,7,2024,Low,0.0039276427549452,52.57502990897681,3.975179819050112,446.20011471835045,445.2609946749581
2024-08-01,2.2517907156990617e-05,-0.0326568427911924,0.0176987183538133,0.0122562543583928,MSFT,8,2024,Low,-0.0028974966929031,41.35822083794912,-6.751881902387251,417.72303813587536,413.7311818656795
2024-09-01,0.001617608244741,-0.0184590190570634,0.021342326295261,0.0115626954946272,MSFT,9,2024,Low,2.2517907156990617e-05,53.894610750918716,0.7447510781854334,415.1396114349365,417.977419446093
2024-10-01,-0.0023664170799638,-0.0605275538252049,0.0208462843807015,0.0156593538298202,MSFT,10,2024,Low,0.001617608244741,48.56658632235235,-0.3264713807972899,420.2977351313052,418.89686569306406
2024-11-01,0.0022301011970853,-0.0278526066265853,0.021968050130088,0.0117369900215566,MSFT,11,2024,Low,-0.0023664170799638,49.1414506389939,-0.5424619787838338,417.5712069702148,417.14280955343276
2024-12-01,-0.0001459952418402,-0.037561028320673,0.0177584213437602,0.0124779555518814,MSFT,12,2024,Low,0.0022301011970853,58.762214347586394,4.831802109273943,429.8304879324777,434.15351064962005
2025-01-01,-0.0005559191776003,-0.0618090601566325,0.0413068643925294,0.0210883431076154,MSFT,1,2025,Medium,-0.0001459952418402,48.161561922687106,-0.9597835361813509,429.6656348419189,427.70397513698634
2025-02-01,-0.0021884142309508,-0.0190325875239452,0.0125231141590798,0.0098746744084967,MSFT,2,2025,Low,-0.0005559191776003,39.78027571819417,-4.970810723686121,419.39226676539374,414.19454422288834
2025-03-01,-0.0025373429635133,-0.0334341415219484,0.0319343554536251,0.0160709006335826,MSFT,3,2025,Low,-0.0021884142309508,40.33317495073291,-6.933960083960544,395.30647350492933,391.5659488820688
2025-04-01,0.0028642333045656,-0.0366059709875346,0.1013368018368996,0.0296393925229547,MSFT,4,2025,Medium,-0.0025373429635133,45.69612637721306,-4.564910551124296,379.7122408185686,378.099603615278
2024-05-01,0.0025012970906628,-0.0215462832946771,0.0187387423212472,0.0103774554861733,GOOGL,5,2024,Low,,54.87404997629721,0.187079758761699,164.84253210587937,167.88305383001781
2024-06-01,0.0029894937410395,-0.0175826697277926,0.0268384965731971,0.0112589802898149,GOOGL,6,2024,Low,0.0025012970906628,58.1563896695181,1.784645317872018,174.3208923741391,175.1341626803398
2024-07-01,-0.0025645561451959,-0.0503878874978834,0.0257237903998437,0.018168115476325,GOOGL,7,2024,Low,0.0029894937410395,51.72909065621016,1.4412859947562824,181.44931931929156,181.35219473250456
2024-08-01,-0.0020955474512272,-0.0444617093037733,0.0227662872990261,0.0155977475318783,GOOGL,8,2024,Low,-0.0025645561451959,39.36891804668156,-3.7101518529038837,168.1350245735862,165.57285879672713
2024-09-01,0.0009464255123921,-0.0401934469909722,0.0233527977079024,0.0164081979675718,GOOGL,9,2024,Low,-0.0020955474512272,44.71831711252431,-2.4006104677142615,159.27616218566897,158.38056794522268
2024-10-01,0.0014331448442244,-0.0244224037521155,0.0281707202757368,0.0124938561117689,GOOGL,10,2024,Low,0.0009464255123921,55.449700060250834,0.9068836104367939,162.62130760524585,163.68478824798228
2024-11-01,-0.0004556612272743,-0.0474484577072055,0.0398844355103564,0.0193944224706488,GOOGL,11,2024,Low,0.0014331448442244,56.952017969851866,2.4670064365924502,170.40250465393066,172.1886338847194
2024-12-01,0.0057269813262569,-0.0359226698035507,0.055881852574956,0.0227107514467898,GOOGL,12,2024,Medium,-0.0004556612272743,61.51918167211552,3.7433646178153595,177.77923918224516,181.30619121238078
